Context,Question,Answer,Context Length,Answer Length,Question Length
"ডিজিটাল ইলেক্ট্রনিক্সে তিনটি মৌলিক লজিক গেইট ব্যবহার হয়। যথা- অর  গেইট, অ্যান্ড গেইট ও নট গেইট। অ্যান্ড গেইটের সকল ইনপুট ১ হলেই কেবলমাত্র আউটপুট ১ হবে অন্যথায় আউটপুট ০ হবে। অর গেইটের যে কোন একটি ইনপুট ১ হলে আউটপুট ১ হবে । নট গেইটের ইনপুট ১ হলে আউটপুট ০ এবং ইনপুট ০ হলে আউটপুট ১ হয়। ন্যান্ড ও নর গেইট দিয়ে সকল মৌলিক গেইট বাস্তবায়ন করা যায় বলে এ দুটি সার্বজনীন গেইট বলে । ",অ্যান্ড গেইটের সকল ইনপুট ১ হলেই কেবলমাত্র আউটপুট ১ হবে অন্যথায় আউটপুট  কি হবে?,০,74,1,14
"একটি সরলতম রেজিস্টার শুধুমাত্র ফ্লিপ ফ্লপ দিয়েই তৈরি। এখানে অন্য কোন গেইটের প্রয়োজন হয় না। ৪টি ডি টাইপ ফ্লিপ ফ্লপ দিয়ে এই ৪ বিট রেজিস্টারটি গঠিত। এই রেজিস্টারটি একটি ৪ বিট বাইনারি শব্দ সংরক্ষণ করতে পারে । একে বাফার রেজিস্টারও বলে। কমন ক্লক ইনপুটে যখন ক্লক পালস্ দেওয়া হয় তখন রেজিস্টারের ইনপুটের জে০, ১১, ১২, ১৩, ডেটা রেজিস্টারে স্থানান্তরিত হয়। এই ৪ বিট রেজিস্টারের আউটপুট এ০, এ১, এ২, এ৩, থেকে যে কোন সময় ডেটা গ্রহণ করা যায়। ক্লিয়ার এর ইনপুট যখন ০ দেওয়া হয় তখন এই ৪ বিট রেজিস্টারের ডাটা রিসেট হয়। সাধারণ অপারেশনের সময় ক্লিয়ার এ '১' পালস্ দিয়ে রাখতে হয়।",ক্লিয়ার এর ইনপুট কি দেওয়া হয় তখন এই ৪ বিট রেজিস্টারের ডাটা রিসেট হয়?,০,102,1,14
অ্যান্ড গেইটে দুই বা দুয়ের অধিক ইনপুট এবং একটি আউটপুট থাকে। অ্যান্ড গেইটের সকল ইনপুট ১ হলেই কেবলমাত্র আউটপুট ১ হবে অন্যথায় আউটপুট ০ হবে। প্রথমে দুটি ইনপুট বিশিষ্ট একটি অ্যান্ড গেইট নিয়ে আলোচনা করা হল। সবগুলো ইনপুট ১ হলে গেইটটির আউটপুট ১ হয়। নট গেইটে একটি ইনপুট ও একটি আউটপুট থাকে। নট গেইটের ইনপুট ১ হলে আউটপুট ০ এবং ইনপুট ০ হলে আউটপুট ১ হয়।,নট গেইটের ইনপুট ১ হলে আউটপুট কত? ,০ ,66,1,7
অ্যান্ড গেইটে দুই বা দুয়ের অধিক ইনপুট এবং একটি আউটপুট থাকে। অ্যান্ড গেইটের সকল ইনপুট ১ হলেই কেবলমাত্র আউটপুট ১ হবে অন্যথায় আউটপুট ০ হবে। প্রথমে দুটি ইনপুট বিশিষ্ট একটি অ্যান্ড গেইট নিয়ে আলোচনা করা হল। সবগুলো ইনপুট ১ হলে গেইটটির আউটপুট ১ হয়। নট গেইটে একটি ইনপুট ও একটি আউটপুট থাকে। নট গেইটের ইনপুট ১ হলে আউটপুট ০ এবং ইনপুট ০ হলে আউটপুট ১ হয়।,কোন গেইটের ইনপুট কত  হলে আউটপুট ১ হয়? ,০ ,66,1,8
অ্যান্ড গেইটে দুই বা দুয়ের অধিক ইনপুট এবং একটি আউটপুট থাকে। অ্যান্ড গেইটের সকল ইনপুট ১ হলেই কেবলমাত্র আউটপুট ১ হবে অন্যথায় আউটপুট ০ হবে। প্রথমে দুটি ইনপুট বিশিষ্ট একটি অ্যান্ড গেইট নিয়ে আলোচনা করা হল। সবগুলো ইনপুট ১ হলে গেইটটির আউটপুট ১ হয়। নট গেইটে একটি ইনপুট ও একটি আউটপুট থাকে। নট গেইটের ইনপুট ১ হলে আউটপুট ০ এবং ইনপুট ০ হলে আউটপুট ১ হয়।,অ্যান্ড গেইটের সকল ইনপুট ১ হলেই কেবলমাত্র আউটপুট ১ হবে অন্যথায় আউটপুট কত হবে? ,০ ,66,1,14
"ন্যানোমিটার হচ্ছে দৈর্ঘ্য পরিমাপের একটি একক। এক ন্যানোমিটার হচ্ছে এক মিটারের একশত কোটি ভাগের এক ভাগ অর্থাৎ ১ ন্যানোমিটার = 102 মিটার। যদি ইঞ্চির সাথে তুলনা করা হয় তাহলে ২৫,৪০০,000 ন্যানোমিটারে এক ইঞ্চি। আরও ছোট কোন বস্তুর সাথে তুলনা করার জন্য চুলের সাথে তুলনা করা যায়। একটি চুল হচ্ছে এক লক্ষ ন্যানোমিটার প্রশস্থ অথবা পৃথিবীর সবচেয়ে ছোট ব্যাকটেরিয়ার সাথে তুলনা করলে, সবচেয়ে ছোট ব্যাকটেরিয়ার আকার ২০০ ন্যানোমিটার। ডিএনএ ডাবল হেলিক্স এর ব্যাসার্ধ প্রায় ২ ন্যানোমিটার। একটি স্বর্ণের পরমাণুর আকার হচ্ছে ০.৩ ন্যানোমিটার। কার্বন-কার্বন বন্ধনের অনুতে পরমাণুগুলির মধ্যবর্তী দূরত্ব ০.১২ থেকে ০.১৫ ন্যানোমিটার। ", একটি স্বর্ণের পরমাণুর আকার কত ন্যানোমিটার? ,০.৩ ,92,1,6
"বুলিয়ান যোগের “+” চিহ্ন, সাধারণ অ্যালজেবরার যোগকে বুঝায় না। বুলিয়ান যোগকে লজিক্যাল অ্যাডিশন বা লজিক্যাল অর  অপারেশন বুঝায়। বুলিয়ান অ্যালজেবরা গুণের ক্ষেত্রে যে সব নিয়ম মেনে চলে সেগুলো হলো - ১) ০.০ = ০; ২) ০.১ = ০; ৩) ১.০ = ০; ৪) ১.১ = ১",১.১=?,১,46,1,1
বুলিয়ান অ্যালজেবরায় শুধুমাত্র বুলিয়ান যোগ ও গুণ এর সাহায্যে সমস্ত কাজ করা হয়। যোগ ও গুণের ক্ষেত্রে বুলিয়ান অ্যালজেবরা কতগুলো নিয়ম মেনে চলে। এই নিয়মগুলোকে বুলিয়ান স্বতঃসিদ্ধ বলে। বুলিয়ান অ্যালজেবরা যোগের ক্ষেত্রে যে সব নিয়ম মেনে চলে সেগুলো হলো-  (১) ০ + ০ = ০; (২) ০ + ১ = ১; (৩) ১+০= ১; (৪) ১ + ১ = ১,১+০=?,১,60,1,1
বুলিয়ান অ্যালজেবরায় শুধুমাত্র বুলিয়ান যোগ ও গুণ এর সাহায্যে সমস্ত কাজ করা হয়। যোগ ও গুণের ক্ষেত্রে বুলিয়ান অ্যালজেবরা কতগুলো নিয়ম মেনে চলে। এই নিয়মগুলোকে বুলিয়ান স্বতঃসিদ্ধ বলে। বুলিয়ান অ্যালজেবরা যোগের ক্ষেত্রে যে সব নিয়ম মেনে চলে সেগুলো হলো-  (১) ০ + ০ = ০; (২) ০ + ১ = ১; (৩) ১+০= ১; (৪) ১ + ১ = ১,১+১=?,১,60,1,1
বুলিয়ান অ্যালজেবরায় শুধুমাত্র বুলিয়ান যোগ ও গুণ এর সাহায্যে সমস্ত কাজ করা হয়। যোগ ও গুণের ক্ষেত্রে বুলিয়ান অ্যালজেবরা কতগুলো নিয়ম মেনে চলে। এই নিয়মগুলোকে বুলিয়ান স্বতঃসিদ্ধ বলে। বুলিয়ান অ্যালজেবরা যোগের ক্ষেত্রে যে সব নিয়ম মেনে চলে সেগুলো হলো-  (১) ০ + ০ = ০; (২) ০ + ১ = ১; (৩) ১+০= ১; (৪) ১ + ১ = ১, ০ + ১=?,১,60,1,3
"যে ডেটা ট্রান্সমিশন সিস্টেমে প্রেরক হতে ডেটা গ্রাহকের কাছে ক্যারেক্টার বাই ক্যারেক্টার ট্রান্সমিট হয় তাকে
এসিনক্রোনাস ট্রান্সমিশন বলে। এই ডেটা ট্রান্সমিশনের প্রধান বৈশিষ্ট্য হলো -
১। প্রেরক যে কোন সময় ডেটা ট্রান্সমিট করতে পারবে এবং গ্রাহকও তা গ্রহণ করবে।
২। একটি ক্যারেক্টার ট্রান্সমিট হবার পর আরেকটি ক্যারেক্টার ট্রান্সমিট করার মাঝখানের বিরতি সবসময় সমান না হয়ে ভিন্ন ভিন্নও হতে পারে।
৩। প্রতিটি ক্যারেক্টারের শুরুতে একটি স্টার্ট বিট এবং শেষে একটি অথবা দু'টি স্টপ বিট ট্রান্সমিট করা হয়।",প্রতিটি ক্যারেক্টারের শুরুতে  স্টার্ট বিট  কয়টি থাকে ?,১,72,1,8
"ডিজিটাল ইলেক্ট্রনিক্সে তিনটি মৌলিক লজিক গেইট ব্যবহার হয়। যথা- অর  গেইট, অ্যান্ড গেইট ও নট গেইট। অ্যান্ড গেইটের সকল ইনপুট ১ হলেই কেবলমাত্র আউটপুট ১ হবে অন্যথায় আউটপুট ০ হবে। অর গেইটের যে কোন একটি ইনপুট ১ হলে আউটপুট ১ হবে । নট গেইটের ইনপুট ১ হলে আউটপুট ০ এবং ইনপুট ০ হলে আউটপুট ১ হয়। ন্যান্ড ও নর গেইট দিয়ে সকল মৌলিক গেইট বাস্তবায়ন করা যায় বলে এ দুটি সার্বজনীন গেইট বলে । ",নট গেইটের ইনপুট ০ হলে আউটপুট কি হবে?,১,74,1,8
"ডিজিটাল ইলেক্ট্রনিক্সে তিনটি মৌলিক লজিক গেইট ব্যবহার হয়। যথা- অর  গেইট, অ্যান্ড গেইট ও নট গেইট। অ্যান্ড গেইটের সকল ইনপুট ১ হলেই কেবলমাত্র আউটপুট ১ হবে অন্যথায় আউটপুট ০ হবে। অর গেইটের যে কোন একটি ইনপুট ১ হলে আউটপুট ১ হবে । নট গেইটের ইনপুট ১ হলে আউটপুট ০ এবং ইনপুট ০ হলে আউটপুট ১ হয়। ন্যান্ড ও নর গেইট দিয়ে সকল মৌলিক গেইট বাস্তবায়ন করা যায় বলে এ দুটি সার্বজনীন গেইট বলে । ",অর গেইটের যে কোন একটি ইনপুট ১ হলে আউটপুট  কি হবে?,১,74,1,11
"ইউনিকাস্ট ব্যবস্থায় একটি প্রেরক থেকে শুধুমাত্র একটি প্রাপকই ডেটা গ্রহণ করতে পারে। অনেক প্রাপক একসাথে ডেটা গ্রহণ করতে পারে না। এজন্য সিমপ্লেক্স, হাফ ডুপ্লেক্স ও ফুল-ডুপ্লেক্স মোডকে ইউনিকাস্ট
মোডও বলা হয়।",ইউনিকাস্ট ব্যবস্থায় একটি প্রেরক থেকে শুধুমাত্র কতজন প্রাপকই ডেটা গ্রহণ করতে পারে?,১,30,1,12
"এক্স-অর  এবং এক্স-নর নামে দুটি লজিক গেইট রয়েছে যা বিশেষ গেইট নামে পরিচিত। এক্স-অর একটি বহুল ব্যবহৃত লজিক সার্কিট। মৌলিক গেইট দিয়ে এই সার্কিট তৈরি করা গেলেও অ্যান্ড, অর নট, ন্যান্ড ও নর গেইটের ন্যায় এটি একীভূত সার্কিট আকারে পাওয়া যায়। এক্স-অর গেইটের ইনপুটে বেজোড় সংখ্যক ১ হলে আউটপুট ১ হয়। দুটি বিটের অবস্থা তুলনা করার জন্য এই গেইট ব্যবহার করা হয়। ২ ইনপুট এক্স-অর গেইটের ক্ষেত্রে ইনপুট যদি অসমান হয় তাহলে আউটপুট ১ হয়।
এক্স-অর গেইটের আউটপুটকে নট গেইট দিয়ে প্রবাহিত করলে এক্স-নর গেইট পাওয়া যায়। ২ ইনপুট এক্স-নর গেইটের ক্ষেত্রে ইনপুট দুটি সমান হলে আউটপুট ১ হয়। ",এক্স-অর গেইটের ক্ষেত্রে ইনপুট যদি অসমান হয় তাহলে আউটপুট কি হয় ?,১,98,1,12
মাল্টিকাস্ট মোড ব্রডকাস্ট মোডের মতই তবে পার্থক্য হলো মাল্টিকাস্ট মোডে নেটওয়ার্কের কোন একটি নোড থেকে ডেটা প্রেরণ করলে তা নেটওয়ার্কের অধীনস্ত সকল নোডই গ্রহণ করতে পারে না। শুধুমাত্র নির্দিষ্ট একটি গ্রুপের সকল সদস্য গ্রহণ করতে পারে। যেমন ভিডিও কনফারেন্সিংয়ের ক্ষেত্রে শুধুমাত্র যাদের অনুমতি থাকবে তারাই অংশগ্রহণ করতে পারবে।,মাল্টিকাস্ট মোডে নেটওয়ার্কের  কয়টি নোড থেকে ডেটা প্রেরণ করলে তা নেটওয়ার্কের অধীনস্ত সকল নোডই গ্রহণ করতে পারে না?,১,48,1,18
অ্যান্ড গেইটে দুই বা দুয়ের অধিক ইনপুট এবং একটি আউটপুট থাকে। অ্যান্ড গেইটের সকল ইনপুট ১ হলেই কেবলমাত্র আউটপুট ১ হবে অন্যথায় আউটপুট ০ হবে। প্রথমে দুটি ইনপুট বিশিষ্ট একটি অ্যান্ড গেইট নিয়ে আলোচনা করা হল। সবগুলো ইনপুট ১ হলে গেইটটির আউটপুট ১ হয়। নট গেইটে একটি ইনপুট ও একটি আউটপুট থাকে। নট গেইটের ইনপুট ১ হলে আউটপুট ০ এবং ইনপুট ০ হলে আউটপুট ১ হয়।,নট গেইটের ইনপুট কত হলে আউটপুট ০? ,১ ,66,1,7
অ্যান্ড গেইটে দুই বা দুয়ের অধিক ইনপুট এবং একটি আউটপুট থাকে। অ্যান্ড গেইটের সকল ইনপুট ১ হলেই কেবলমাত্র আউটপুট ১ হবে অন্যথায় আউটপুট ০ হবে। প্রথমে দুটি ইনপুট বিশিষ্ট একটি অ্যান্ড গেইট নিয়ে আলোচনা করা হল। সবগুলো ইনপুট ১ হলে গেইটটির আউটপুট ১ হয়। নট গেইটে একটি ইনপুট ও একটি আউটপুট থাকে। নট গেইটের ইনপুট ১ হলে আউটপুট ০ এবং ইনপুট ০ হলে আউটপুট ১ হয়।,কোন গেইটের ইনপুট ০ হলে আউটপুট কত হয়? ,১ ,66,1,8
অর গেইটে দুই বা দুয়ের অধিক ইনপুট এবং একটি আউটপুট থাকে। অর গেইটের যে কোন একটি ইনপুট ১ হলে আউটপুট ১ হবে। প্রথমে দুটি ইনপুট বিশিষ্ট একটি অর গেইট নিয়ে আলোচনা করা হল। অন্ততঃ একটি ইনপুট ১ হলেই গেইটটির আউটপুট ১ হয়। ,একটি ইনপুট কত হলেই অর  গেইটটির আউটপুট ১ হয়? ,১ ,42,1,9
অ্যান্ড গেইটে দুই বা দুয়ের অধিক ইনপুট এবং একটি আউটপুট থাকে। অ্যান্ড গেইটের সকল ইনপুট ১ হলেই কেবলমাত্র আউটপুট ১ হবে অন্যথায় আউটপুট ০ হবে। প্রথমে দুটি ইনপুট বিশিষ্ট একটি অ্যান্ড গেইট নিয়ে আলোচনা করা হল। সবগুলো ইনপুট ১ হলে গেইটটির আউটপুট ১ হয়। নট গেইটে একটি ইনপুট ও একটি আউটপুট থাকে। নট গেইটের ইনপুট ১ হলে আউটপুট ০ এবং ইনপুট ০ হলে আউটপুট ১ হয়।,অ্যান্ড গেইটের সকল ইনপুট কত  হলেই কেবলমাত্র আউটপুট ১ হবে? ,১ ,66,1,10
অ্যান্ড গেইটে দুই বা দুয়ের অধিক ইনপুট এবং একটি আউটপুট থাকে। অ্যান্ড গেইটের সকল ইনপুট ১ হলেই কেবলমাত্র আউটপুট ১ হবে অন্যথায় আউটপুট ০ হবে। প্রথমে দুটি ইনপুট বিশিষ্ট একটি অ্যান্ড গেইট নিয়ে আলোচনা করা হল। সবগুলো ইনপুট ১ হলে গেইটটির আউটপুট ১ হয়। নট গেইটে একটি ইনপুট ও একটি আউটপুট থাকে। নট গেইটের ইনপুট ১ হলে আউটপুট ০ এবং ইনপুট ০ হলে আউটপুট ১ হয়।,অ্যান্ড গেইটের সকল ইনপুট ১ হলেই কেবলমাত্র আউটপুট কত  হবে? ,১ ,66,1,10
অর গেইটে দুই বা দুয়ের অধিক ইনপুট এবং একটি আউটপুট থাকে। অর গেইটের যে কোন একটি ইনপুট ১ হলে আউটপুট ১ হবে। প্রথমে দুটি ইনপুট বিশিষ্ট একটি অর গেইট নিয়ে আলোচনা করা হল। অন্ততঃ একটি ইনপুট ১ হলেই গেইটটির আউটপুট ১ হয়। ,অর গেইটের যে কোন একটি ইনপুট কত হলে আউটপুট ১ হবে? ,১ ,42,1,11
অর গেইটে দুই বা দুয়ের অধিক ইনপুট এবং একটি আউটপুট থাকে। অর গেইটের যে কোন একটি ইনপুট ১ হলে আউটপুট ১ হবে। প্রথমে দুটি ইনপুট বিশিষ্ট একটি অর গেইট নিয়ে আলোচনা করা হল। অন্ততঃ একটি ইনপুট ১ হলেই গেইটটির আউটপুট ১ হয়। ,অর গেইটের যে কোন একটি ইনপুট ১ হলে আউটপুট কত হবে? ,১ ,42,1,11
"একটি সরলতম রেজিস্টার শুধুমাত্র ফ্লিপ ফ্লপ দিয়েই তৈরি। এখানে অন্য কোন গেইটের প্রয়োজন হয় না। ৪টি ডি টাইপ ফ্লিপ ফ্লপ দিয়ে এই ৪ বিট রেজিস্টারটি গঠিত। এই রেজিস্টারটি একটি ৪ বিট বাইনারি শব্দ সংরক্ষণ করতে পারে । একে বাফার রেজিস্টারও বলে। কমন ক্লক ইনপুটে যখন ক্লক পালস্ দেওয়া হয় তখন রেজিস্টারের ইনপুটের জে০, ১১, ১২, ১৩, ডেটা রেজিস্টারে স্থানান্তরিত হয়। এই ৪ বিট রেজিস্টারের আউটপুট এ০, এ১, এ২, এ৩, থেকে যে কোন সময় ডেটা গ্রহণ করা যায়। ক্লিয়ার এর ইনপুট যখন ০ দেওয়া হয় তখন এই ৪ বিট রেজিস্টারের ডাটা রিসেট হয়। সাধারণ অপারেশনের সময় ক্লিয়ার এ '১' পালস্ দিয়ে রাখতে হয়।",অপারেশনের সময় ক্লিয়ার এ কি পালস্ দিয়ে রাখতে হয়?,১' ,102,1,9
১০ কিলোহার্টজ থেকে ১ গিগাহার্টজের মধ্যে সীমিত ইলেক্ট্রোম্যাগনেটিক স্প্রেকট্রামকে বলা হয় রেডিও ওয়েভ। রেডিও ওয়েভ সহজে তৈরি করা যায় যা অনেক দূর পর্যন্ত যেতে পারে এবং বিল্ডিংকেও ভেদ করতে পারে। একারণে যোগাযোগের ক্ষেত্রে ঘরে ও বাইরে ব্যাপকভাবে রেডিও ওয়েভ ব্যবহার করা হয়। এই যোগাযোগ ব্যবস্থায় সংকেত প্রেরণের গতিবেগ প্রায় ২৪ কিলোবিটস  ।  ,কত কিলোহার্টজ থেকে ১ গিগাহার্টজের মধ্যে সীমিত ইলেক্ট্রোম্যাগনেটিক স্প্রেকট্রামকে বলা হয় রেডিও ওয়েভ? ,১০ ,52,1,13
"ডকুমেন্টেশান বলতে বোঝায় সমস্যার বিবরণ, অ্যালগোরিদম, ফ্লোচার্ট, গ্রাফ, কোডিং, পরীক্ষার ফলাফল, ব্যবহারকারীর জন্য প্রয়োজনীয় নির্দেশ ইত্যাদির লিখিত বিবরণ বা ডকুমেন্ট প্রস্তুত করা। প্রোগ্রামিং এর প্রত্যেক ধাপেই তার ডকুমেন্টেশান করে রাখতে হয়, সবশেষে ডকুমেন্টেশান করা উচিত নয়। ডকুমেন্টেশান প্রোগ্রামারকে প্রোগ্রাম তৈরির সব ধাপেই সাহায্য করে এবং এর ফলে প্রোগ্রামটি স্থায়ীভাবে রক্ষিত হয়। ঠিকভাবে ডকুমেন্টেশান করা না থাকলে পরে প্রোগ্রামকে কোনভাবে পরিবর্তন করা কঠিন বা অসম্ভব হয়ে পড়ে, বিশেষভাবে অন্যের রচিত প্রোগ্রামকে। এজন্য ডকুমেন্টেশান অত্যন্ত গুরুত্বপূর্ণ। সাধারণত প্রোগ্রামিং এর বিভিন্ন ধাপ রচনায় সময় লাগে, প্রথম ও দ্বিতীয় ধাপে মোট সময়ের ৪৫% কোডিং, ১০%, ইনপুট, ৪৫% ডিবাগিং ও ডকুমেন্টেশান।", ইনপুট এ কত সময় লাগে?,১০% ,96,1,5
"ন্যানোমিটার হচ্ছে দৈর্ঘ্য পরিমাপের একটি একক। এক ন্যানোমিটার হচ্ছে এক মিটারের একশত কোটি ভাগের এক ভাগ অর্থাৎ ১ ন্যানোমিটার = 102 মিটার। যদি ইঞ্চির সাথে তুলনা করা হয় তাহলে ২৫,৪০০,000 ন্যানোমিটারে এক ইঞ্চি। আরও ছোট কোন বস্তুর সাথে তুলনা করার জন্য চুলের সাথে তুলনা করা যায়। একটি চুল হচ্ছে এক লক্ষ ন্যানোমিটার প্রশস্থ অথবা পৃথিবীর সবচেয়ে ছোট ব্যাকটেরিয়ার সাথে তুলনা করলে, সবচেয়ে ছোট ব্যাকটেরিয়ার আকার ২০০ ন্যানোমিটার। ডিএনএ ডাবল হেলিক্স এর ব্যাসার্ধ প্রায় ২ ন্যানোমিটার। একটি স্বর্ণের পরমাণুর আকার হচ্ছে ০.৩ ন্যানোমিটার। কার্বন-কার্বন বন্ধনের অনুতে পরমাণুগুলির মধ্যবর্তী দূরত্ব ০.১২ থেকে ০.১৫ ন্যানোমিটার। ",১ ন্যানোমিটার = কত মিটার? ,১০২,92,1,5
" ""ভস্টক-১”-এ করে ১২ এপ্রিল ১৯৬১ সালে ২৭ বছর বয়সী রাশিয়ান মহাকাশযাত্রী ইউরি গ্যাগারিন মহাশূন্য ভ্রমণ করেন। এই সময় ""ভস্টক-১” পৃথিবীর চারপাশের কক্ষপথে এক ঘন্টা আটচল্লিশ মিনিটে একবার আবর্তন করে। ""ভস্টক-১”-এর মহাকাশ যাত্রার এক মাসের ভিতরে যুক্তরাষ্ট্র এলান শেফার্ডের উপকক্ষপথীয় মহাকাশযান “মারকিউরি রেডস্টোন ৩”-এ করে একজন মহাকাশযাত্রী মহাশূন্যে পাঠায়। এরপর ১৯৬২ সালের ২০ ফেব্রুয়ারী যুক্তরাষ্ট্র জন গ্লেনের কক্ষপথে মহাকাশযান ""মারকিউরি-এটলাস ৬” মহাশূন্যে প্রেরণ করে।
"," ""ভস্টক-১”-এ করে কত এপ্রিল ১৯৬১ সালে ২৭ বছর বয়সী রাশিয়ান মহাকাশযাত্রী ইউরি গ্যাগারিন মহাশূন্য ভ্রমণ করেন?",১২,63,1,16
জিএসএম হচ্ছে ফ্রিকোয়েন্সি ডিভিশন মাল্টিপল এক্সেস এবং টাইম ডিভিশন মাল্টিপল এক্সেস এর সম্মিলিত একটি চ্যানেল অ্যাকসেস পদ্ধতি। ফ্রিকোয়েন্সি ডিভিশন মাল্টিপল এক্সেস  এর সর্বমোট চ্যানেল সংখ্যা হচ্ছে ১২৪ এবং প্রতিটি চ্যানেল হচ্ছে ২০০ কিলোহার্টজ। ৯৩৫-৯৬০ মেগাহার্টজ আপলিংক  এবং ৯৩৫-৯৬০ মেগাহার্টজ ডাউনলিংক উভয়ের জন্যই ২৫ মেগাহার্টজ বরাদ্দ থাকে। দ্বৈত পৃথকীকরণ  হচ্ছে ৪৫ মেগাহার্টজ। যদি ২০০ কিলোহার্টজ চ্যানেলের মধ্যে  টাইম ডিভিশন মাল্টিপল এক্সেস ব্যবহৃত হয় তবে একটি ফ্রেমে  পরিণত হতে ৮ টাইম স্লট  দরকার। ফ্রেম সময়কাল হচ্ছে ৪.৬১৫ মিলিসেকেন্ড। জিএসএম সর্বপ্রথম মোবাইল রেডিও সিস্টেমের জন্য টাইম ডিভিশন মাল্টিপল এক্সেস এর উন্নয়ন সাধন করে।,মাল্টিপল এক্সেস  এর সর্বমোট চ্যানেল সংখ্যা  কয়টি ?,১২৪,90,1,8
জিএসএম এর প্রাথমিক সার্ভিসের লক্ষ্য হচ্ছে উঁচু মানের ডিজিটাল ভয়েস ট্রান্সমিশন নিশ্চিত করা। তাছাড়া জিএসএম এর একটি অন্যতম জনপ্রিয় সার্ভিস এর নাম হল এসএমএস । রোমিং সুবিধা থাকলে পৃথিবীর যে কোন জায়গায় এসএমএস করা যায়। মেসেজ ট্রান্সফার সার্ভিসে সর্বোচ্চ ১৬০টি অক্ষর ব্যবহার করা যায়। সম্প্রতি আমাদের দেশে এমএমএস  চালু হয়েছে। এমএমএস দ্বারা ছবি বা ইমেজ পাঠানো যায়। নিচে জিএসএম সার্ভিসের অন্যান্য বিভিন্ন সুবিধা উল্লেখ করা হলো। ,মেসেজ ট্রান্সফার সার্ভিসে সর্বোচ্চ কয়টি অক্ষর ব্যবহার করা যায়?,১৬০টি,66,1,9
"আইপি অ্যাড্রেস মনে রাখা বেশ কষ্টসাধ্য ব্যাপার। আর এই কষ্টকর বিষয়টি সহজতর করার জন্য ইন্টারনেটে ডোমেইন নেম সিস্টেম নামে একটি পদ্ধতি ব্যবহার করা হয়। ডিএনএস হচ্ছে আইপি এড্রেস এর একটি আলফানিউমেরিক (ক্যারেক্টর এবং নাম্বার সম্বলিত) ঠিকানা। ডোমেইন নেইম এর বিভিন্ন অংশ থাকে। যথা- রুট লেভেল, সেকেন্ড লেভেল ইত্যাদি। ডোমেইন নেইমের রুট লেভেল অংশ থেকে ডোমেইনের ধরন বুঝা যায়। ডোমেইন নেইমের দ্বিতীয় অংশে ঐ ডোমেইনের পরিচিতিমূলক নিজস্ব নাম থাকে। যেমন-শিক্ষা, মাইক্রোসফট্, ওরাকল, ইন্টেল ইত্যাদি। পিরিয়ড দিয়ে ডোমেইন নেইমের বিভিন্ন অংশ পৃথক করে রাখা হয়।",ব্যবহার করে আইপি এড্রেস নাম্বার কোনটি?,১৭২.১৬৮.১০.১,83,1,6
"১৯০১ সালে ইটালিয়ান পদার্থবিদ গুগলিয়েলমো মার্কোনি জাহাজ থেকে সমুদ্র উপকূলে মোর্শ কোড ব্যবহার করে সর্বপ্রথম ওয়্যারলেস টেলিগ্রাফের মাধ্যমে যোগাযোগ করেন। কোন প্রকার তার ব্যবহার না করেই তথ্য আদান প্রদান তথা যোগাযোগ করার পদ্ধতিকে ওয়্যারলেস কমিউনিকেশন সিস্টেম বলে। এর সাহায্যে বিশ্বের যে কোন প্রান্তে অবস্থান করেই একে অন্যের সাথে বিভিন্ন প্রকার যোগাযোগ যেমন-কথা বলা, টেক্সট ম্যাসেজিং, চ্যাটিং ইত্যাদি কাজ খুব সহজেই দ্রুত সম্পন্ন করা যায়। এতে মোবাইল, বহনযোগ্য টু-ওয়ে রেডিও , পার্সোনাল ডিজিটাল এসিস্ট্যান্ট  এবং তারবিহীন নেটওয়ার্কিং  ইত্যাদি অন্তর্ভূক্ত রয়েছে।",সর্বপ্রথম ওয়্যারলেস টেলিগ্রাফের মাধ্যমে যোগাযোগ করেেন কত সালে ?,১৯০১,79,1,9
"কানাডার টরেন্টো বিশ্ববিদ্যালয়ের ইংরেজি বিভাগের অধ্যাপক ও বিখ্যাত দার্শনিক “মারশেল ম্যাকলুহান”  সর্বপ্রথম গ্লোবাল ভিলেজ কথাটি ব্যবহার করেন। ম্যাকলুহান ১৯১১ সালের ২১ জুলাই কানাডাতে জন্ম গ্রহণ করেন এবং ১৯৮০ সালের ৩১ ডিসেম্বর মৃত্যুবরণ করেন। তিনি “দি মিডিয়াম ইজ দি মেসেজ"" এবং “গ্লোবাল ভিলেজ”) এর উদ্ভাবক হিসাবে পরিচিতি পেয়েছিলেন। তিনি ওয়ার্ল্ড ওয়াইড ওয়েব  বা ইন্টারনেট আবিষ্কারের প্রায় ৩০ (ত্রিশ) বছর পূর্বেই এ সম্পর্কে ধারণা দিয়েছিলেন। ম্যাকলুহান ১৯৬২ এবং ১৯৬৪ সালে তার প্রকাশিত দুইটি গ্রন্থ ""দ্য গুটেনবার্গ: দ্য মেকিং অফ টাইপোগ্রাফিক ম্যান"" এবং ""আন্ডারস্ট্যান্ডিং মিডিয়া"" তে গ্লোবাল ভিলেজ বা বিশ্বগ্রাম এর ধারণা দেন।
",ম্যাকলুহান কোন সালের ২১ জুলাই কোথায় জন্ম গ্রহণ করেন ?,১৯১১,90,1,10
